EBI Biomes	environmental feature	environmental material	biome	quality	GOLD Path > delim
Environmental			http://purl.obolibrary.org/obo/ENVO_01000254		root > Environmental
Air		http://purl.obolibrary.org/obo/ENVO_00002005			root > Environmental > Air
Indoor Air	http://purl.obolibrary.org/obo/ENVO_00000073				root > Environmental > Air > Indoor Air
Outdoor Air	http://purl.obolibrary.org/obo/ENVO_01000811				root > Environmental > Air > Outdoor Air
Aquatic			http://purl.obolibrary.org/obo/ENVO_00002030		root > Environmental > Aquatic
Aquaculture	http://purl.obolibrary.org/obo/FOODON_03520111		http://purl.obolibrary.org/obo/ENVO_00002030		root > Environmental > Aquatic > Aquaculture
Estuary	http://purl.obolibrary.org/obo/ENVO_00000045		http://purl.obolibrary.org/obo/ENVO_01000020		root > Environmental > Aquatic > Estuary
Sediment		http://purl.obolibrary.org/obo/ENVO_00002007	http://purl.obolibrary.org/obo/ENVO_01000020		root > Environmental > Aquatic > Estuary > Sediment
Freshwater		http://purl.obolibrary.org/obo/ENVO_00002011	http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater
Drinking water		http://purl.obolibrary.org/obo/ENVO_00003064	http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Drinking water
Chlorinated		http://purl.obolibrary.org/obo/FOODON_03301647	http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Drinking water > Chlorinated
Delivery networks	http://purl.obolibrary.org/obo/ENVO_01000989				root > Environmental > Aquatic > Freshwater > Drinking water > Delivery networks
Groundwater		http://purl.obolibrary.org/obo/ENVO_01001004	http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Groundwater
Acid Mine Drainage	http://purl.obolibrary.org/obo/ENVO_00001997		http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Groundwater > Acid Mine Drainage
Biofilm	http://purl.obolibrary.org/obo/ENVO_00002034		http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Groundwater > Biofilm
Cave water		http://purl.obolibrary.org/obo/ENVO_00000067	http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Groundwater > Cave water
Coalbed water		http://purl.obolibrary.org/obo/ENVO_02000091	http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Groundwater > Coalbed water
Contaminated		http://purl.obolibrary.org/obo/ENVO_00002186	http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Groundwater > Contaminated
Mine	http://purl.obolibrary.org/obo/ENVO_00000076		http://purl.obolibrary.org/obo/ENVO_00002030		root > Environmental > Aquatic > Freshwater > Groundwater > Mine
Mine drainage		http://purl.obolibrary.org/obo/ENVO_00001996	http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Groundwater > Mine drainage
Ice		http://purl.obolibrary.org/obo/ENVO_01000277	http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Ice
Glacial lake	http://purl.obolibrary.org/obo/ENVO_00000488		http://purl.obolibrary.org/obo/ENVO_01000252		root > Environmental > Aquatic > Freshwater > Ice > Glacial lake
Glacier	http://purl.obolibrary.org/obo/ENVO_00000131	http://purl.obolibrary.org/obo/ENVO_00000133	http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Ice > Glacier
Ice accretions		http://purl.obolibrary.org/obo/ENVO_01000293	http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Ice > Ice accretions
Lake		http://purl.obolibrary.org/obo/ENVO_00000021	http://purl.obolibrary.org/obo/ENVO_01000252		root > Environmental > Aquatic > Freshwater > Lake
Lentic	http://purl.obolibrary.org/obo/ENVO_01000617		http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Lentic
Epilimnion	http://purl.obolibrary.org/obo/ENVO_00002131		http://purl.obolibrary.org/obo/ENVO_01000252		root > Environmental > Aquatic > Freshwater > Lentic > Epilimnion
Hypolimnion	http://purl.obolibrary.org/obo/ENVO_00002130		http://purl.obolibrary.org/obo/ENVO_01000252		root > Environmental > Aquatic > Freshwater > Lentic > Hypolimnion
Limnetic zone			http://purl.obolibrary.org/obo/ENVO_01000252		root > Environmental > Aquatic > Freshwater > Lentic > Limnetic zone
Littoral zone			http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Lentic > Littoral zone
Sediment		http://purl.obolibrary.org/obo/ENVO_00002007	http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Lentic > Sediment
Lotic		http://purl.obolibrary.org/obo/ENVO_01000618	http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Lotic
Acidic			http://purl.obolibrary.org/obo/ENVO_01000315	http://purl.obolibrary.org/obo/PATO_0001429	root > Environmental > Aquatic > Freshwater > Lotic > Acidic
Low land river systems			http://purl.obolibrary.org/obo/ENVO_01000253		root > Environmental > Aquatic > Freshwater > Lotic > Low land river systems
Microbial mats	http://purl.obolibrary.org/obo/ENVO_01000008		http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Lotic > Microbial mats
Mid stream			http://purl.obolibrary.org/obo/ENVO_00000873	http://purl.obolibrary.org/obo/PATO_0002268	root > Environmental > Aquatic > Freshwater > Lotic > Mid stream
Sediment		http://purl.obolibrary.org/obo/ENVO_01001028	http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Lotic > Sediment
Microbialites			http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Microbialites
Pond	http://purl.obolibrary.org/obo/ENVO_00000033		http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Pond
Sediment		http://purl.obolibrary.org/obo/ENVO_01001028	http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Pond > Sediment
Sediment		http://purl.obolibrary.org/obo/ENVO_01001028	http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Sediment
Storm water		http://purl.obolibrary.org/obo/ENVO_01001267	http://purl.obolibrary.org/obo/ENVO_00000873		root > Environmental > Aquatic > Freshwater > Storm water
Drainage pipe biofilm	http://purl.obolibrary.org/obo/ENVO_01000924	http://purl.obolibrary.org/obo/ENVO_01000156			root > Environmental > Aquatic > Freshwater > Storm water > Drainage pipe biofilm
Subglacial lake	http://purl.obolibrary.org/obo/ENVO_03000120		http://purl.obolibrary.org/obo/ENVO_01000252		root > Environmental > Aquatic > Freshwater > Subglacial lake
Wetlands			http://purl.obolibrary.org/obo/ENVO_00000243		root > Environmental > Aquatic > Freshwater > Wetlands
Bog			http://purl.obolibrary.org/obo/ENVO_00000243		root > Environmental > Aquatic > Freshwater > Wetlands > Bog
Marsh			http://purl.obolibrary.org/obo/ENVO_00000053		root > Environmental > Aquatic > Freshwater > Wetlands > Marsh
Sediment		http://purl.obolibrary.org/obo/ENVO_01001028	http://purl.obolibrary.org/obo/ENVO_00000243		root > Environmental > Aquatic > Freshwater > Wetlands > Sediment
Swamp			http://purl.obolibrary.org/obo/ENVO_00000233		root > Environmental > Aquatic > Freshwater > Wetlands > Swamp
Lentic	http://purl.obolibrary.org/obo/ENVO_01000617		http://purl.obolibrary.org/obo/ENVO_00002030		root > Environmental > Aquatic > Lentic
Brackish		http://purl.obolibrary.org/obo/ENVO_00002019	http://purl.obolibrary.org/obo/ENVO_01000322		root > Environmental > Aquatic > Lentic > Brackish
Marine			http://purl.obolibrary.org/obo/ENVO_00000447		root > Environmental > Aquatic > Marine
Brackish		http://purl.obolibrary.org/obo/ENVO_00002019	http://purl.obolibrary.org/obo/ENVO_01000322		root > Environmental > Aquatic > Marine > Brackish
Coastal	http://purl.obolibrary.org/obo/ENVO_02000049		http://purl.obolibrary.org/obo/ENVO_00000447		root > Environmental > Aquatic > Marine > Coastal
Sediment		http://purl.obolibrary.org/obo/ENVO_03000033	http://purl.obolibrary.org/obo/ENVO_00000447		root > Environmental > Aquatic > Marine > Coastal > Sediment
Cold seeps	http://purl.obolibrary.org/obo/ENVO_01000263		http://purl.obolibrary.org/obo/ENVO_01000127		root > Environmental > Aquatic > Marine > Cold seeps
Sediment		http://purl.obolibrary.org/obo/ENVO_03000033	http://purl.obolibrary.org/obo/ENVO_01000127		root > Environmental > Aquatic > Marine > Cold seeps > Sediment
Fossil	http://purl.obolibrary.org/obo/ENVO_00002164		http://purl.obolibrary.org/obo/ENVO_00000447		root > Environmental > Aquatic > Marine > Fossil
Whale fall	http://purl.obolibrary.org/obo/ENVO_01000140		http://purl.obolibrary.org/obo/ENVO_00000447		root > Environmental > Aquatic > Marine > Fossil > Whale fall
Hydrothermal vents	http://purl.obolibrary.org/obo/ENVO_00000215		http://purl.obolibrary.org/obo/ENVO_01000030		root > Environmental > Aquatic > Marine > Hydrothermal vents
Black smokers	http://purl.obolibrary.org/obo/ENVO_00000218		http://purl.obolibrary.org/obo/ENVO_01000051		root > Environmental > Aquatic > Marine > Hydrothermal vents > Black smokers
Diffuse flow		http://purl.obolibrary.org/obo/ENVO_01000134	http://purl.obolibrary.org/obo/ENVO_01000030		root > Environmental > Aquatic > Marine > Hydrothermal vents > Diffuse flow
Microbial mats	http://purl.obolibrary.org/obo/ENVO_01000008		http://purl.obolibrary.org/obo/ENVO_01000030		root > Environmental > Aquatic > Marine > Hydrothermal vents > Microbial mats
Sediment		http://purl.obolibrary.org/obo/ENVO_03000033	http://purl.obolibrary.org/obo/ENVO_01000030		root > Environmental > Aquatic > Marine > Hydrothermal vents > Sediment
Intertidal zone			http://purl.obolibrary.org/obo/ENVO_01001468		root > Environmental > Aquatic > Marine > Intertidal zone
Beach	http://purl.obolibrary.org/obo/ENVO_00000091		http://purl.obolibrary.org/obo/ENVO_01001468		root > Environmental > Aquatic > Marine > Intertidal zone > Beach
Coral reef	http://purl.obolibrary.org/obo/ENVO_00000150		http://purl.obolibrary.org/obo/ENVO_01000049		root > Environmental > Aquatic > Marine > Intertidal zone > Coral reef
Estuary	http://purl.obolibrary.org/obo/ENVO_00000045		http://purl.obolibrary.org/obo/ENVO_01000020		root > Environmental > Aquatic > Marine > Intertidal zone > Estuary
