database	table	field	mixs_term
GOLD	biosample	altitude	alt
GOLD	biosample	salinity_concentration	salinity
GOLD	biosample	oxygen_concentration	diss_oxygen
GOLD	biosample	geographic_location	geo_loc_name
GOLD	biosample	nitrate_concentration	nitrate
GOLD	biosample	chlorophyll_concentration	chlorophyll
GOLD	biosample	soil_curr_land_use	cur_land_use
GOLD	biosample	soil_curr_vegitation	cur_vegetation
GOLD	biosample	soil_curr_vegitation_method	cur_vegetation_meth
GOLD	biosample	soil_prev_land_use	previous_land_use
GOLD	biosample	soil_prev_land_use_meth	previous_land_use_meth
GOLD	biosample	soil_crop_rotation	crop_rotation
GOLD	biosample	soil_agrochem_addition	agrochem_addition
GOLD	biosample	soil_tillage	tillage
GOLD	biosample	soil_fire	fire
GOLD	biosample	soil_flodding	flooding
GOLD	biosample	soil_extreme_event	extreme_event
GOLD	biosample	soil_horizon	horizon
GOLD	biosample	soil_horizon_method	horizon_meth
GOLD	biosample	soil_seiving	sieving
GOLD	biosample	soil_water_content	water_content
GOLD	biosample	soil_water_content_soil_meth	water_content_soil_meth
GOLD	biosample	sample_weight_dna_ext	samp_vol_we_dna_ext
GOLD	biosample	soil_pool_dna_extracts	pool_dna_extracts
GOLD	biosample	soil_store_condition	store_cond
GOLD	biosample	soil_link_climate_info	link_climate_info
GOLD	biosample	soil_annual_season_temp	season_temp or annual_temp?
GOLD	biosample	soil_annual_season_precpt 	season_precpt or annual_precpt?
GOLD	biosample	soil_link_class_info	link_class_info
GOLD	biosample	soil_fao_class	fao_class
GOLD	biosample	soil_local_class	local_class
GOLD	biosample	soil_local_class_method	local_class_meth
GOLD	biosample	soil_type	soil_type
GOLD	biosample	soil_type_method	soil_type_meth
GOLD	biosample	soil_slope_gradient	slope_gradient
GOLD	biosample	soil_slope_aspect	slope_aspect
GOLD	biosample	soil_profile_position	profile_position
GOLD	biosample	soil_drainage_class	drainage_class
GOLD	biosample	soil_texture	texture
GOLD	biosample	soil_texture_method	texture_meth
GOLD	biosample	soil_ph_method	ph_meth
GOLD	biosample	tot_org_carbon	tot_org_carb
GOLD	biosample	soil_tot_org_c_method	tot_org_c_meth
GOLD	biosample	tot_nitrogen	tot_nitro_content
GOLD	biosample	soil_tot_n_method	tot_nitro_content_meth
GOLD	biosample	soil_microbial_biomass	microbial_biomass
GOLD	biosample	soil_microbial_biomass_method	microbial_biomass_meth
GOLD	biosample	soil_link_addit_analys	link_addit_analys
GOLD	biosample	soil_salinity_method	salinity_meth
GOLD	biosample	soil_heavy_metals	heavy_metals
GOLD	biosample	soil_heavy_metals_method	heavy_metals_meth
GOLD	biosample	soil_aluminum_sat	al_sat
GOLD	biosample	soil_aluminum_sat_method	al_sat_meth
GOLD	biosample	soil_misc_param	misc_param
