class	slot	required	recommended
water	lat_lon		
water	depth	True	
water	alt		
water	elev	False	
water	temp	False	
water	geo_loc_name		
water	collection_date		
water	env_broad_scale		
water	env_local_scale		
water	env_medium		
water	alkalinity	False	
water	alkalinity_method	False	
water	alkyl_diethers	False	
water	aminopept_act	False	
water	ammonium	False	
water	atmospheric_data	False	
water	bacteria_carb_prod	False	
water	bac_prod	False	
water	bac_resp	False	
water	biomass	False	
water	bishomohopanol	False	
water	bromide	False	
water	calcium	False	
water	carb_nitro_ratio	False	
water	chem_administration	False	
water	chloride	False	
water	chlorophyll	False	
water	conduc	False	
water	density	False	
water	diether_lipids	False	
water	diss_carb_dioxide	False	
water	diss_hydrogen	False	
water	diss_inorg_carb	False	
water	diss_inorg_nitro	False	
water	diss_inorg_phosp	False	
water	diss_org_carb	False	
water	diss_org_nitro	False	
water	diss_oxygen	False	
water	down_par	False	
water	fluor	False	
water	glucosidase_act	False	
water	light_intensity	False	
water	magnesium	False	
water	mean_frict_vel	False	
water	mean_peak_frict_vel	False	
water	misc_param	False	
water	n_alkanes	False	
water	nitrate	False	
water	nitrite	False	
water	nitro	False	
water	org_carb	False	
water	org_matter	False	
water	org_nitro	False	
water	organism_count	False	
water	oxy_stat_samp	False	
water	ph	False	
water	part_org_carb	False	
water	part_org_nitro	False	
water	perturbation	False	
water	petroleum_hydrocarb	False	
water	phaeopigments	False	
water	phosphate	False	
water	phosplipid_fatt_acid	False	
water	photon_flux	False	
water	potassium	False	
water	pressure	False	
water	primary_prod	False	
water	redox_potential	False	
water	salinity	False	
water	samp_store_dur	False	
water	samp_store_loc	False	
water	samp_store_temp	False	
water	silicate	False	
water	size_frac_low	False	
water	size_frac_up	False	
water	sodium	False	
water	soluble_react_phosp	False	
water	sulfate	False	
water	sulfide	False	
water	suspend_part_matter	False	
water	tidal_stage	False	
water	tot_depth_water_col	False	
water	tot_diss_nitro	False	
water	tot_inorg_nitro	False	
water	tot_nitro	False	
water	tot_part_carb	False	
water	tot_phosp	False	
water	turbidity	False	
water	water_current	False	
quantity value	has unit		
quantity value	has numeric value		
quantity value	has raw value		
wastewater_sludge	lat_lon		
wastewater_sludge	depth	False	
wastewater_sludge	alt		
wastewater_sludge	elev		
wastewater_sludge	temp	False	
wastewater_sludge	geo_loc_name		
wastewater_sludge	collection_date		
wastewater_sludge	env_broad_scale		
wastewater_sludge	env_local_scale		
wastewater_sludge	env_medium		
wastewater_sludge	alkalinity	False	
wastewater_sludge	biochem_oxygen_dem	False	
wastewater_sludge	chem_administration	False	
wastewater_sludge	chem_oxygen_dem	False	
wastewater_sludge	efficiency_percent	False	
wastewater_sludge	emulsions	False	
wastewater_sludge	gaseous_substances	False	
wastewater_sludge	indust_eff_percent	False	
wastewater_sludge	inorg_particles	False	
wastewater_sludge	misc_param	False	
wastewater_sludge	nitrate	False	
wastewater_sludge	org_particles	False	
wastewater_sludge	organism_count	False	
wastewater_sludge	oxy_stat_samp	False	
wastewater_sludge	ph	False	
wastewater_sludge	perturbation	False	
wastewater_sludge	phosphate	False	
wastewater_sludge	pre_treatment	False	
wastewater_sludge	primary_treatment	False	
wastewater_sludge	reactor_type	False	
wastewater_sludge	samp_salinity	False	
wastewater_sludge	salinity	False	
wastewater_sludge	samp_store_dur	False	
wastewater_sludge	samp_store_loc	False	
wastewater_sludge	samp_store_temp	False	
wastewater_sludge	secondary_treatment	False	
wastewater_sludge	sewage_type	False	
wastewater_sludge	sludge_retent_time	False	
wastewater_sludge	sodium	False	
wastewater_sludge	soluble_inorg_mat	False	
wastewater_sludge	soluble_org_mat	False	
wastewater_sludge	suspend_solids	False	
wastewater_sludge	tertiary_treatment	False	
wastewater_sludge	tot_nitro	False	
wastewater_sludge	tot_phosphate	False	
wastewater_sludge	wastewater_type	False	
soil	lat_lon		
soil	depth	True	
soil	alt		
soil	elev	True	
soil	temp		
soil	geo_loc_name		
soil	collection_date		
soil	env_broad_scale		
soil	env_local_scale		
soil	env_medium		
soil	cur_land_use	False	
soil	cur_vegetation	False	
soil	cur_vegetation_meth	False	
soil	previous_land_use	False	
soil	prev_land_use_meth	False	
soil	crop_rotation	False	
soil	agrochem_addition	False	
soil	tillage	False	
soil	fire	False	
soil	flooding	False	
soil	extreme_event	False	
soil	horizon	False	
soil	horizon_meth	False	
soil	sieving	False	
soil	water_content	False	
soil	water_cont_soil_meth	False	
soil	pool_dna_extracts	False	
soil	store_cond	False	
soil	link_climate_info	False	
soil	annual_temp	False	
soil	season_temp	False	
soil	annual_precpt	False	
soil	season_precpt	False	
soil	link_class_info	False	
soil	fao_class	False	
soil	local_class	False	
soil	local_class_meth	False	
soil	soil_type	False	
soil	soil_type_meth	False	
soil	slope_gradient	False	
soil	slope_aspect	False	
soil	profile_position	False	
soil	drainage_class	False	
soil	texture	False	
soil	texture_meth	False	
soil	ph	False	
soil	ph_meth	False	
soil	tot_org_carb	False	
soil	tot_org_c_meth	False	
soil	tot_nitro_content	False	
soil	tot_nitro_cont_meth	False	
soil	microbial_biomass	False	
soil	micro_biomass_meth	False	
soil	link_addit_analys	False	
soil	extreme_salinity	False	
soil	salinity_meth	False	
soil	heavy_metals	False	
soil	heavy_metals_meth	False	
soil	al_sat	False	
soil	al_sat_meth	False	
soil	misc_param	False	
sediment	lat_lon		
sediment	depth	True	
sediment	alt		
sediment	elev	False	
sediment	temp	False	
sediment	geo_loc_name		
sediment	collection_date		
sediment	env_broad_scale		
sediment	env_local_scale		
sediment	env_medium		
sediment	alkalinity	False	
sediment	alkyl_diethers	False	
sediment	aminopept_act	False	
sediment	ammonium	False	
sediment	bacteria_carb_prod	False	
sediment	biomass	False	
sediment	bishomohopanol	False	
sediment	bromide	False	
sediment	calcium	False	
sediment	carb_nitro_ratio	False	
sediment	chem_administration	False	
sediment	chloride	False	
sediment	chlorophyll	False	
sediment	density	False	
sediment	diether_lipids	False	
sediment	diss_carb_dioxide	False	
sediment	diss_hydrogen	False	
sediment	diss_inorg_carb	False	
sediment	diss_org_carb	False	
sediment	diss_org_nitro	False	
sediment	diss_oxygen	False	
sediment	glucosidase_act	False	
sediment	magnesium	False	
sediment	mean_frict_vel	False	
sediment	mean_peak_frict_vel	False	
sediment	methane	False	
sediment	misc_param	False	
sediment	n_alkanes	False	
sediment	nitrate	False	
sediment	nitrite	False	
sediment	nitro	False	
sediment	org_carb	False	
sediment	org_matter	False	
sediment	org_nitro	False	
sediment	organism_count	False	
sediment	oxy_stat_samp	False	
sediment	ph	False	
sediment	particle_class	False	
sediment	part_org_carb	False	
sediment	perturbation	False	
sediment	petroleum_hydrocarb	False	
sediment	phaeopigments	False	
sediment	phosphate	False	
sediment	phosplipid_fatt_acid	False	
sediment	porosity	False	
sediment	potassium	False	
sediment	pressure	False	
sediment	redox_potential	False	
sediment	salinity	False	
sediment	samp_store_dur	False	
sediment	samp_store_loc	False	
sediment	samp_store_temp	False	
sediment	sediment_type	False	
sediment	silicate	False	
sediment	sodium	False	
sediment	sulfate	False	
sediment	sulfide	False	
sediment	tidal_stage	False	
sediment	tot_carb	False	
sediment	tot_depth_water_col	False	
sediment	tot_nitro_content	False	
sediment	tot_org_carb	False	
sediment	turbidity	False	
sediment	water_content	False	
plant-associated	lat_lon		
plant-associated	depth	False	
plant-associated	alt		
plant-associated	elev	False	
plant-associated	temp	False	
plant-associated	geo_loc_name		
plant-associated	collection_date		
plant-associated	env_broad_scale		
plant-associated	env_local_scale		
plant-associated	env_medium		
plant-associated	air_temp_regm	False	
plant-associated	ances_data	False	
plant-associated	antibiotic_regm	False	
plant-associated	biol_stat	False	
plant-associated	biotic_regm	False	
plant-associated	chem_administration	False	
plant-associated	chem_mutagen	False	
plant-associated	climate_environment	False	
plant-associated	cult_root_med	False	
plant-associated	fertilizer_regm	False	
plant-associated	fungicide_regm	False	
plant-associated	gaseous_environment	False	
plant-associated	genetic_mod	False	
plant-associated	gravity	False	
plant-associated	growth_facil	False	
plant-associated	growth_habit	False	
plant-associated	growth_hormone_regm	False	
plant-associated	herbicide_regm	False	
plant-associated	host_age	False	
plant-associated	host_common_name	False	
plant-associated	host_dry_mass	False	
plant-associated	host_genotype	False	
plant-associated	host_height	False	
plant-associated	host_infra_spec_name	False	
plant-associated	host_infra_spec_rank	False	
plant-associated	host_subspecf_genlin	False	
plant-associated	host_length	False	
plant-associated	host_life_stage	False	
plant-associated	host_phenotype	False	
plant-associated	host_taxid	False	
plant-associated	host_tot_mass	False	
plant-associated	host_wet_mass	False	
plant-associated	humidity_regm	False	
plant-associated	light_regm	False	
plant-associated	mechanical_damage	False	
plant-associated	mineral_nutr_regm	False	
plant-associated	misc_param	False	
plant-associated	non_min_nutr_regm	False	
plant-associated	organism_count	False	
plant-associated	oxy_stat_samp	False	
plant-associated	ph_regm	False	
plant-associated	perturbation	False	
plant-associated	pesticide_regm	False	
plant-associated	plant_growth_med	False	
plant-associated	plant_product	False	
plant-associated	plant_sex	False	
plant-associated	plant_struc	False	
plant-associated	radiation_regm	False	
plant-associated	rainfall_regm	False	
plant-associated	root_cond	False	
plant-associated	root_med_carbon	False	
plant-associated	root_med_macronutr	False	
plant-associated	root_med_micronutr	False	
plant-associated	root_med_suppl	False	
plant-associated	root_med_ph	False	
plant-associated	root_med_regl	False	
plant-associated	root_med_solid	False	
plant-associated	salt_regm	False	
plant-associated	samp_capt_status	False	
plant-associated	samp_dis_stage	False	
plant-associated	samp_salinity	False	
plant-associated	salinity	False	
plant-associated	samp_store_dur	False	
plant-associated	samp_store_loc	False	
plant-associated	samp_store_temp	False	
plant-associated	season_environment	False	
plant-associated	standing_water_regm	False	
plant-associated	tiss_cult_growth_med	False	
plant-associated	water_temp_regm	False	
plant-associated	watering_regm	False	
plant-associated	host_symbiont	False	
miscellaneous natural or artificial environment	lat_lon		
miscellaneous natural or artificial environment	depth	False	
miscellaneous natural or artificial environment	alt	False	
